a52dec 0.8.0-2
aalib 1.4rc5-17
abseil-cpp 20230125.3-1
accounts-qml-module 0.7-4
accountsservice 23.13.9-1
acl 2.3.1-3
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adwaita-cursors 44.0-1
adwaita-icon-theme 44.0-1
aha 0.5.1-2
alacritty 0.12.2-1
alpm_octopi_utils 1.0.2-3.2
alsa-card-profiles 1:0.3.72-1
alsa-firmware 1.2.4-3
alsa-lib 1.2.9-1
alsa-plugins 1:1.2.7.1-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.9-1
alsa-utils 1.2.9-1
amd-ucode 20230625.ee91452d-3
android-sdk-build-tools r34.0.0-2
android-studio 2022.2.1.20-1
android-tools 34.0.1-2
android-udev 20230303-1
ansible 8.1.0-1
ansible-core 2.15.1-1
anytype 0.18.58-1
aom 3.6.1-1
appimagelauncher 2.2.0-6.4
appmenu-gtk-module 0.7.6-1
appstream 0.16.2-1
appstream-qt 0.16.2-1
apr 1.7.3-1
apr-util 1.6.3-1
archlinux-appstream-data 20230526-1
archlinux-keyring 20230629-1
argon2 20190702-5
aribb24 1.0.3-3
arj 3.10.22-13
ark 23.04.2-1
at-spi2-core 2.48.3-2
atkmm 2.28.3-1
attica 5.107.0-1
attr 2.5.1-3
audiofile 0.3.6-8
audit 3.1.1-1
autoconf 2.71-4
automake 1.16.5-2
autorandr 1.14-1
avahi 1:0.8+r22+gfd482a7-1
b43-fwcutter 019-4
babl 0.1.106-1
baloo 5.107.0-1
baloo-widgets 23.04.2-1
base 3-1
bash 5.1.016-4
bash-completion 2.11-3
bat 0.23.0-3
beautyline 1:20230603-1
bind 9.18.16-1
binutils 2.40-6
bison 3.8.2-6
bitwarden 2023.5.1-1
blas 3.11.0-2
bluedevil 1:5.27.6-1
blueman 2.3.5-2
bluetooth-support 1-7
bluez 5.68-1
bluez-hid2hci 5.68-1
bluez-libs 5.68-1
bluez-plugins 5.68-1
bluez-qt 5.107.0-1
bluez-tools 0.2.0-5
bluez-utils 5.68-1
bolt 0.9.5-1
boost-libs 1.81.0-7
boxes 2.2.0-1
brave-bin 1:1.52.129-1
breeze 5.27.6-1
breeze-icons 5.107.0-1
bridge-utils 1.7.1-1
brightnessctl 0.5.1-2
brotli 1.0.9-12
btop 1.2.13-1
btrfs-assistant 1.8-2
btrfs-progs 6.3.2-1
btrfsmaintenance 0.5-2
bubblewrap 0.8.0-1
bzip2 1.0.8-5
c-ares 1.19.1-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.91-1
ca-certificates-utils 20220905-1
cabextract 1.11-1
cairo 1.17.8-2
cairomm 1.14.4-1
calibre 6.22.0-1
candy-icons-git r1020.2e34b87-1
cantarell-fonts 1:0.303.1-1
capstone 4.0.2-7
catppuccin-gtk-theme-mocha 0.6.1-2
cava 0.8.3-1
cblas 3.11.0-2
cdparanoia 10.2-8
cdrtools 3.02a09-5
chaotic-keyring 20230616-1
chaotic-mirrorlist 20230603-1
check 0.15.2-2
chmlib 0.40-7
chromaprint 1.5.1-7
chrono-date 3.0.1-3
cifs-utils 7.0-3
ckbcomp 1.221-1
clang 15.0.7-9
clinfo 3.0.21.02.21-1
cliphist 1:0.4.0-2
cmake 3.26.4-1
cmatrix 2.0-2
compiler-rt 15.0.7-2
confuse 3.3-3
containerd 1.7.2-1
convertlit 1.8-11
coreutils 9.3-1
cpio 2.14-1
cracklib 2.9.11-1
cryptsetup 2.6.1-3
ctop 0.7.7-2
curl 8.1.2-1
curlftpfs 0.9.2-8
dav1d 1.2.1-1
db 6.2.32-1
